175931|2094535|
558306|2094575|
735390|2094675|
581762|2094750|
519238|2094833|
592587|2094928|
515796|2095071|
492922|2095166|
539352|2095272|
764061|2095761|
552065|2095849|
473563|2095925|
494577|2095992|
495649|2096073|
484681|2096138|
506592|2096212|
653393|2096294|
597387|2096391|
526881|2096486|
389918|2096563|
359395|2096654|
407772|2096735|
473193|2096819|
521016|2096928|
456105|2097008|
466572|2097127|
436095|2097192|
475422|2097297|
590872|2097395|
585144|2097524|
500299|2097600|
475256|2097683|
591670|2097793|
658605|2097885|
753397|2098000|
663238|2098138|
629780|2098241|
635782|2098359|
637673|2098465|
595498|2098559|
609084|2098666|
692783|2098756|
683230|2098843|
547309|2098930|
588882|2099034|
584300|2099125|
0|2099173|
